# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_fwm_prao:   FW &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_pdeco:  FW &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_dicco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_msky: PRF &Delta;&theta;<sub>SQ</sub>(OOT) [arcsec]
#
loc_rowid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_srho,koi_prad,koi_incl,koi_teq,koi_insol,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky
1710,K02265.01,FALSE POSITIVE,2.97600846,4.274,103.2,0.12518,2.27,79.4,1892,3034.68,6208,3.898,-0.1,2.088,1.256,290.13821,38.491184,13.4,0.000105,0.000122,-0.22,-0.57,0.61
1711,K02345.01,CONFIRMED,15.18727049,4.509,292.5,0.26952,1.94,86.77,789,91.56,6136,4.414,-0.36,1.005,0.956,294.61481,40.833172,14.724,4E-05,0.00018,-0.48,0.03,0.48
1712,K02346.01,CONFIRMED,28.6853212,6.307,689.1,0.09252,2.69,86.68,547,21.09,5726,4.559,-0.18,0.838,0.93,292.29062,44.653252,15.658,-0.00072,-0.00038,0.07,0.1,0.12
1713,K02347.01,CONFIRMED,0.588001053,1.1451,297.4,2.81504,0.99,83.78,1188,473.45,3814,4.687,0.24,0.57,0.576,292.77338,44.178131,14.934,-8.4E-05,9.7E-05,-0.04,-0.12,0.13
1714,K02348.01,CONFIRMED,85.7357202,7.625,747.7,1.75443,2.94,89.98,448,9.54,6096,4.397,-0.04,1.077,1.054,289.4415,42.498131,15.301,0.00012,-0.0002,0.43,0.07,0.43
1715,K02350.01,CONFIRMED,1.078389713,1.3394,300.5,0.75953,1.98,76.41,1667,1817.38,5325,4.384,0.14,0.985,0.857,290.27969,41.515049,15.143,-0.00023,-0.00013,-0.07,0.24,0.25
1716,K02110.01,CONFIRMED,5.03728033,2.0619,76.3,0.15727,1.55,80.72,1321,720.22,6387,4.271,0.2,1.381,1.306,294.46854,49.33102,12.189,3.3E-05,9E-06,-0.54,-0.25,0.59
1717,K02111.01,CONFIRMED,3.289726319,2.3274,234.9,2.29385,1.37,89.73,1116,367.18,5463,4.492,0.16,0.91,0.937,286.28473,44.781551,14.866,-1E-05,0.00022,-0.28,-0.1,0.3
1718,K02111.02,CONFIRMED,7.18644594,1.4972,402,2.24354,2.19,87.2,860,129.48,5463,4.492,0.16,0.91,0.937,286.28473,44.781551,14.866,4E-05,0.0006,0.08,-0.23,0.24
1719,K02113.01,CONFIRMED,15.94248453,3.4894,1093.7,3.45443,2.62,89.96,616,34.06,5376,4.576,-0.02,0.806,0.897,293.82431,42.779701,15.886,-0.00041,0.00044,-0.28,-0.49,0.57
1720,K00223.02,CONFIRMED,41.0081117,4.376,1004.5,0.67537,2.64,88.72,425,7.72,5303,4.63,-0.38,0.708,0.785,286.16205,39.678001,14.708,0.00049,0.00031,-0.2,0.27,0.34
1721,K02180.01,CONFIRMED,11.55562042,1.6758,441.5,3.10825,2.11,88.21,703,57.75,5420,4.555,0.14,0.85,0.945,293.32242,42.86747,14.816,-0.00053,0.00047,-0.11,0.22,0.24
1722,K02181.01,CANDIDATE,12.2885046,2.807,342.1,2.38362,3.22,88.64,913,164.61,5109,3.96,0.1,1.671,0.929,301.34286,44.672211,14.414,,-0.00046,0.01,-0.24,0.24
1723,K02182.01,CONFIRMED,17.13263125,3.0555,850.2,4.80501,2.31,89.59,611,32.91,5477,4.578,-0.16,0.794,0.876,295.56799,42.478298,15.842,-0.0006,-0.00011,0.32,0.18,0.36
1724,K02183.01,CONFIRMED,19.0231361,3.431,401.6,1.63025,2.04,88.73,647,41.5,5569,4.459,0.14,0.954,0.955,292.17114,40.916309,15.198,-7E-05,-0.00032,0.09,0.09,0.13
1725,K02183.02,CONFIRMED,4.57948235,3.106,207.1,1.33901,1.35,89.72,1040,276.82,5569,4.459,0.14,0.954,0.955,292.17114,40.916309,15.198,-0.00016,0.00037,-0.11,-0.14,0.18
1726,K02266.01,CONFIRMED,1.003931703,1.4361,491.1,3.08321,1.6,89.76,1419,962.58,4949,4.552,-0.18,0.741,0.715,298.30273,47.694031,15.942,0.00018,-0.00011,-0.03,-0.12,0.12
1727,K02269.01,FALSE POSITIVE,0.614083885,0.9817,389.5,5.8184,2.55,88.76,2603,10827.22,6521,4.352,0.21,1.276,1.334,297.01965,49.997379,15.177,-6.7E-05,-0.00021,0.55,0.033,0.55
1728,K02271.01,CONFIRMED,55.8224775,5.457,879.6,3.12988,2.13,89.98,379,4.85,5162,4.611,-0.18,0.736,0.817,287.2977,47.455441,15.624,0.00103,2E-05,-0.14,0.08,0.17
1729,K02272.01,CANDIDATE,1.34145255,7.502,26.6,0.02305,1.31,58.42,3015,19568.74,7495,3.926,-0.1,2.389,1.754,294.15366,46.309681,12.783,-9E-06,-2.3E-05,0.39,-0.01,0.39
1730,K02273.01,CONFIRMED,6.11010439,2.314,59.7,3.75664,0.93,89.16,1125,378.84,6213,4.387,0.36,1.195,1.27,294.91156,46.491459,12.716,-8.6E-05,-8E-06,0.25,0.42,0.49
1731,K00240.01,CONFIRMED,4.286866229,4.4726,1321.9,0.14938,4.14,81.72,1217,517.66,6228,4.441,-0.08,1.049,1.107,291.08014,43.860199,14.982,-0.00016,-0.00011,0.089,0.021,0.091
1732,K02351.01,CANDIDATE,10.27380957,3.252,352.8,2.59443,1.68,89.71,799,96.27,5806,4.528,-0.04,0.899,0.996,292.42758,37.320808,14.909,-0.00041,-0.00013,-0.19,0.2,0.28
1733,K02352.01,CONFIRMED,13.39155154,3.391,48.9,1.78056,1.58,88.8,1180,459.23,6197,3.837,-0.32,2.188,1.198,285.1828,43.831078,10.421,-2.4E-05,1E-05,1.92,0.66,2.04
1734,K02352.02,CONFIRMED,5.62904396,3.7295,39.5,0.8586,1.39,88.8,1576,1459.41,6197,3.837,-0.32,2.188,1.198,285.1828,43.831078,10.421,3.6E-05,1.2E-05,1.68,0.64,1.8
1735,K02352.03,CANDIDATE,8.2562857,2.0378,37.3,1.68502,1.49,87.44,1387,874.56,6197,3.837,-0.32,2.188,1.198,285.1828,43.831078,10.421,4E-06,-9E-06,-1.11,-0.59,1.3
1736,K02113.02,CONFIRMED,12.33087921,3.0664,872.2,3.9034,2.34,89.98,671,47.99,5376,4.576,-0.02,0.806,0.897,293.82431,42.779701,15.886,1E-05,0.0005,-0.11,-0.46,0.48
1737,K02114.01,CONFIRMED,4.421566535,2.1229,684,0.66228,2.19,84.34,729,66.94,4299,4.604,0.38,0.697,0.713,281.11176,42.45491,15.18,0.00013,0.00068,-0.01,-0.43,0.43
1738,K02115.01,CONFIRMED,15.72585941,3.8284,1313.1,2.55018,2.69,89.78,602,31.13,5332,4.597,-0.22,0.755,0.824,294.15332,46.166439,16.144,-0.00038,0.00073,2,-10.58,10.77
1739,K02116.01,CONFIRMED,1.252753881,2.1472,200,0.89491,2.44,84.54,2199,5545.35,5907,4.041,0.16,1.705,1.165,291.1452,44.062538,14.69,-9.9E-05,-7.8E-05,0.28,-0.07,0.29
1740,K02117.01,CANDIDATE,13.36019864,2.788,699.9,3.47892,1.84,89.04,520,17.3,4500,4.638,0.28,0.688,0.768,286.47934,39.269958,15.637,-0.00035,-0.0003,0.34,0.05,0.35
1741,K02185.01,CONFIRMED,76.957056,9.551,367.1,0.37258,2.09,89.25,451,9.81,5878,4.363,-0.24,1.041,0.912,286.00296,44.756592,14.353,-8E-05,8E-05,-0.41,0.1,0.42
1742,K02186.01,CANDIDATE,14.97974335,4.126,1211.8,0.18444,3.79,85.89,620,34.95,5062,4.481,0.14,0.853,0.803,285.90848,38.212719,15.549,0.0004,0.00018,-0.24,0.16,0.29
1743,K02188.02,CANDIDATE,6.7445683,3.813,86.6,1.03335,0.86,89.38,983,220.68,6106,4.496,-0.34,0.923,0.974,283.75385,47.796951,15.319,,,,,
1744,K02189.01,CANDIDATE,33.35859852,2.286,1825.9,2.532,4.44,88.99,459,10.46,5009,4.515,0,0.799,0.763,298.07474,40.94899,15.253,0.00046,0.00023,-0.25,-0.34,0.42
1745,K02191.01,CANDIDATE,8.84784273,2.0572,460.2,9.04523,1.15,89.92,479,12.48,3867,4.718,0.1,0.552,0.581,285.08655,40.898998,14.911,-6E-05,-0.00034,0.27,0.16,0.31
1746,K02274.01,CONFIRMED,9.98970266,3.7,988.4,1.80902,2.48,89.99,705,58.26,5265,4.58,0.14,0.81,0.91,292.16858,43.779671,15.909,0.00071,0.0003,-0.01,0.1,0.1
1747,K00235.01,CONFIRMED,5.63252508,2.1448,634.4,3.71393,2.04,88.58,844,119.75,5216,4.58,0.14,0.804,0.896,295.10995,43.915211,14.353,-0.00056,-7E-05,0.223,-0.06,0.23
1748,K02276.01,CONFIRMED,1.442592305,2.9698,166,0.47046,2.67,86.82,2700,12557.23,7216,3.983,-0.36,2.043,1.462,294.95892,38.591572,11.558,-1.4E-05,1.9E-05,-0.04,-0.15,0.16
1749,K02278.01,CONFIRMED,14.17222858,2.6297,246.8,0.96515,2.39,87.71,873,137.33,5845,4.2,-0.02,1.314,0.998,291.60718,38.410389,13.776,-0.00018,0.00012,-0.09,0.32,0.33
1750,K02278.02,CONFIRMED,4.92031063,4.046,81,0.59154,1.18,88.48,1242,562.99,5845,4.2,-0.02,1.314,0.998,291.60718,38.410389,13.776,-5.3E-05,0,0.75,0.61,0.97
1751,K02358.01,CANDIDATE,56.4931698,8.704,411.9,0.28729,4.43,88.89,681,50.79,6160,3.976,0.24,2.046,1.443,295.1391,40.979061,13.524,6E-05,-7E-05,0.38,-0.21,0.43
1752,K00241.01,CONFIRMED,13.82142084,3.985,765.2,0.22484,2.2,86.05,560,23.15,4983,4.66,-0.44,0.651,0.715,286.75278,49.064911,14.139,0.00012,-0.00013,0.03,0.23,0.23
1753,K02360.01,FALSE POSITIVE,2.30367952,3.0898,136.4,0.02996,1.3,61.68,1384,866.21,6191,4.546,-0.5,0.865,0.961,287.80408,43.168961,15.206,0.001455,0.001162,-3.41,-3.96,5.22
1754,K02361.01,CANDIDATE,5.78387049,1.3966,413.3,17.54748,2.07,89.59,1051,288.69,6063,4.476,0.07,1.012,1.117,295.30255,49.589119,15.049,0.00013,-0.00013,0.31,-0.38,0.49
1755,K02362.02,CONFIRMED,11.08507658,1.751,771.8,4.20703,2.5,88.44,665,46.17,5080,4.538,0,0.793,0.792,291.88126,44.555729,15.938,8E-05,0.0007,0.38,0.01,0.38
1756,K02119.01,CONFIRMED,0.571038347,1.1267,242.1,0.6221,1.65,66.6,1897,3069.59,5132,4.457,0.16,0.886,0.82,291.04993,39.14167,14.098,1.6E-05,-4E-05,0.08,0.01,0.08
1757,K02120.01,CANDIDATE,8.77425786,2.2245,239.6,0.58484,1.75,86.06,771,83.63,5146,4.445,0.2,0.905,0.832,297.07465,39.933849,13.714,-4E-05,-0.0001,0.03,0.27,0.28
1758,K02121.01,CONFIRMED,4.51005082,2.1533,294.8,3.91979,1.74,89.59,1063,301.74,5362,4.352,0.16,1.032,0.873,296.04233,45.985142,14.979,-2E-05,0.00042,-0.39,-0.05,0.39
1759,K02122.01,CONFIRMED,37.6468519,6.344,427.4,1.31457,5.37,89.99,787,90.85,5443,3.74,0.26,2.652,1.41,291.64624,39.396629,14.288,8E-05,-7E-05,0,-0.19,0.19
1760,K02123.01,CANDIDATE,29.4557841,3.451,533.8,6.43467,2.19,89.98,598,30.3,6036,4.491,-0.16,0.949,1.018,301.54297,44.60561,14.385,-0.00031,-0.0005,-0.06,0.27,0.28
1761,K00232.01,CONFIRMED,12.466004437,5.0066,2232.1,0.89661,5.65,89.39,897,152.76,6038,4.284,-0.16,1.191,0.995,291.11188,39.949108,14.247,,0.00028,0.034,0.062,0.071
1762,K02193.01,CONFIRMED,2.361724472,1.2167,587,11.81578,1.53,89.97,922,170.59,4478,4.615,-0.22,0.651,0.637,284.10779,44.245811,15.658,0,0.00028,-0.01,-0.2,0.2
1763,K02194.01,CONFIRMED,34.7630543,4.309,293.7,1.29347,1.75,89.04,554,22.23,5670,4.387,-0.36,0.95,0.802,292.32645,38.657581,13.865,0.0001,0.00022,-0.04,0.43,0.43
1764,K02195.01,CONFIRMED,20.0545282,7.173,305.4,0.02963,2.63,83.71,755,76.97,6056,4.332,0.16,1.209,1.147,291.2562,49.258949,14.881,-0.00044,-0.00021,-0.17,-0.22,0.28
1765,K02200.01,CONFIRMED,3.17059731,1.6686,325.4,1.52041,1.69,85.11,1080,321.28,5431,4.563,0.12,0.843,0.945,285.89923,48.307301,15.353,-0.00027,0.00029,0.2,-0.05,0.21
1766,K02279.01,CONFIRMED,27.0142622,5.385,287.6,1.52782,2,89.99,677,49.65,5949,4.303,0,1.184,1.027,295.422,38.735691,13.86,0.00047,-0.00041,0.09,0.27,0.28
1767,K02279.02,CONFIRMED,12.50945798,3.479,155.3,1.26157,1.54,88.36,875,138.54,5949,4.303,0,1.184,1.027,295.422,38.735691,13.86,0.00027,-0.00011,-0.23,0.41,0.47
1768,K02280.01,CONFIRMED,26.0203329,4.965,1164.4,0.77769,4.53,88.67,675,49.09,5624,4.218,0.04,1.244,0.931,290.47452,37.766602,15.889,-0.00105,0.00015,0.03,-0.08,0.09
1769,K02281.01,CONFIRMED,0.769854899,1.0243,109.6,2.42718,0.93,80.42,1650,1756.8,5173,4.55,0.16,0.822,0.874,293.1311,45.663551,13.829,-7.8E-05,-4E-05,-0.01,-0.22,0.22
1770,K02282.01,CONFIRMED,6.89226333,2.4921,214.4,3.89135,2.13,89.84,1156,422.14,5862,4.148,0.16,1.463,1.097,281.83145,42.298908,14.207,0.00026,0.0003,0.18,-0.31,0.35
1771,K02368.01,CONFIRMED,8.07127043,2.393,318.2,4.6734,1.53,89.39,856,126.94,5766,4.517,-0.32,0.853,0.874,292.83215,48.21936,15.553,-0.0001,-0.00016,-0.47,-0.05,0.47
1772,K02369.01,CONFIRMED,11.01819178,4.635,545.7,0.13325,2.64,84.66,840,117.97,6075,4.486,-0.12,0.969,1.048,285.72079,40.85696,15.832,9E-05,0.00017,0.03,-0.11,0.11
1773,K00241.02,CONFIRMED,30.9505927,5.394,301.4,0.07455,1.51,86.47,428,7.91,4983,4.66,-0.44,0.651,0.715,286.75278,49.064911,14.139,-0.00042,-2E-05,0.41,-0.14,0.43
1774,K02369.02,CANDIDATE,6.3143447,2.796,191.4,2.52178,1.34,89.95,1012,247.53,6075,4.486,-0.12,0.969,1.048,285.72079,40.85696,15.832,,,,,
1775,K02370.01,CANDIDATE,78.7327023,5.041,495.8,0.26668,7.76,88.77,761,79.13,6715,3.754,0.02,2.763,1.581,297.5582,40.541309,13.003,-0.00017,-0.0001,-0.14,0.11,0.18
1776,K00224.01,FALSE POSITIVE,3.979867514,2.3607,907.6,0.06913,26.5,71.67,1173,446.89,6032,4.485,-0.06,0.973,1.055,295.6402,40.794842,14.782,0.00486,0.00586,-2.866,-3.577,4.584
1777,K02124.01,CANDIDATE,42.3375799,4.924,354.8,0.17163,1.45,87.86,311,2.21,4132,4.682,-0.2,0.581,0.593,295.28854,49.379791,14.275,-0.00035,-2E-05,0.54,-0.2,0.58
1778,K02125.01,CANDIDATE,23.3593589,5.389,570.1,0.08975,2.98,86.07,684,51.68,6244,4.46,-0.2,1.009,1.069,292.46429,45.968288,15.347,0.00022,-3E-05,-0.15,0.25,0.29
1779,K02126.01,CONFIRMED,9.69310837,2.734,1130.7,2.74996,2.12,88.72,609,32.4,4818,4.639,-0.68,0.618,0.607,291.80801,38.6227,15.914,-0.00075,-0.0001,0.68,-1.28,1.44
1780,K02128.01,FALSE POSITIVE,24.2598301,3.897,1540.3,0.13419,25.42,85.57,547,21.13,5485,4.574,-0.12,0.805,0.891,286.94415,42.580631,15.962,-0.00292,0.00049,4.5,-0.51,4.6
1781,K02201.01,FALSE POSITIVE,116.5214317,5.577,771.5,0.10988,44.41,88.32,457,10.33,6056,4.179,0,1.411,1.096,286.37,37.552521,13.806,0.00049,-0.00025,0.37,0.16,0.4
1782,K02202.01,CONFIRMED,0.813166357,1.4122,173.5,2.57532,1.14,89.23,1693,1945.44,5237,4.5,0.3,0.887,0.907,287.94562,39.230572,14.113,4.6E-05,-1.5E-05,-0.18,-0.01,0.18
1783,K02204.01,CANDIDATE,10.86062378,2.2874,189.6,7.17845,2.09,89.58,1108,356.24,6455,4.125,-0.36,1.496,1.087,291.54941,44.52729,13.957,-9E-05,-0.0002,-0.24,0.43,0.5
1784,K02205.01,CONFIRMED,24.08632177,2.236,1041.7,5.03073,2.78,89.14,500,14.78,4973,4.537,-0.08,0.768,0.741,281.69397,46.946449,15.464,-0.00052,0.00046,-0.24,-0.16,0.29
1785,K02206.01,CANDIDATE,1.834277283,1.7499,286.5,2.43783,1.64,87.12,1459,1068.36,5751,4.458,-0.02,0.958,0.962,285.96802,48.67905,15.198,0.00028,-0.00012,-3.41,0.93,3.54
1786,K02283.01,FALSE POSITIVE,17.40208965,3.745,616.5,0.05164,16.37,82.56,422,7.49,4098,4.662,0.08,0.615,0.634,291.37744,47.21257,15.245,-0.00118,-0.00228,1.57,1.94,2.5
1787,K02285.01,CONFIRMED,37.9456138,4.093,1032.9,4.60464,2.79,89.79,515,16.61,5861,4.546,-0.2,0.865,0.957,289.1427,46.812889,15.939,-0.00023,0.00014,0.18,0.07,0.19
1788,K00027.01,FALSE POSITIVE,1.141877248,4.33931,309490,0.45438,88.62,79.07,2184,5358.79,6158,4.152,-0.38,1.368,0.969,285.39404,38.904911,13.418,,,0.012,-0.022,0.025
1789,K00236.01,FALSE POSITIVE,5.77675928,6.789,3522.5,0.01649,32.77,65.56,954,195.79,5544,4.435,-0.4,0.875,0.761,298.80206,44.420349,14.572,0.02224,0.05002,,,
1790,K02286.01,CONFIRMED,24.1738244,3.056,532.6,6.92559,2.21,89.76,595,29.69,5468,4.427,0.14,0.968,0.913,297.91974,45.274158,15.056,-0.00046,-0.00038,0.16,-0.04,0.17
1791,K02353.01,CANDIDATE,5.186737262,0.8023,712.7,19.63952,2.4,88.44,860,129.37,5230,4.594,0,0.777,0.873,288.66449,51.498421,14.988,-0.00045,0.00069,0.02,0.13,0.13
1792,K02354.01,CANDIDATE,1.151244686,1.272,269.6,0.10592,40.32,44.68,1756,2253.09,6086,4.511,-0.26,0.921,1.003,296.06625,42.768219,14.519,0.000214,4.1E-05,0.17,-0.22,0.28
1793,K02355.01,CONFIRMED,1.217000383,1.3285,459.8,4.67568,1.58,89.77,1314,707.61,4859,4.545,-0.02,0.757,0.734,295.93842,49.791142,15.975,-0.00021,0.0002,-0.21,-0.21,0.3
1794,K02356.01,CONFIRMED,13.6823798,4.153,179.6,0.8893,1.43,88.35,802,97.74,6102,4.457,0,1.026,1.099,295.06424,49.35899,14.5,-0.00014,-3E-05,-0.73,-0.13,0.74
1795,K02357.01,CANDIDATE,2.42088277,2.812,223.3,0.89697,2.27,88,1616,1615.12,5583,4.077,0.16,1.53,1.017,293.20377,43.057011,15.61,9E-05,-0.00066,0.13,0.56,0.57
1796,K02129.01,CONFIRMED,8.79618433,3.3781,286.3,2.01055,1.77,89.86,938,183.26,6142,4.456,0.07,1.046,1.143,295.46338,45.81274,15.159,0.00025,-0.00013,0.08,0.04,0.09
1797,K02130.01,CANDIDATE,16.85592593,2.309,871.5,12.46941,1.7,89.96,408,6.52,3967,4.674,0.06,0.587,0.593,291.7262,37.5289,15.661,-0.00015,0.00042,-0.19,0.15,0.24
1798,K02131.01,CONFIRMED,14.36270451,4.564,349.4,1.20168,2.31,89.34,918,167.88,6643,4.357,-0.1,1.216,1.235,296.96881,47.751492,14.612,1E-05,-0.00017,0.12,0.08,0.14
1799,K02132.01,CANDIDATE,69.8956789,5.276,548.4,0.62928,3.04,89.08,442,8.99,5390,4.303,0.2,1.104,0.893,296.69727,46.371712,14.552,-0.00016,7E-05,-0.06,0.1,0.11
1800,K02133.01,CONFIRMED,6.24667547,11.261,396.8,0.00678,14.93,68.65,1902,3095.83,4604,2.936,0.3,6.221,1.218,285.67288,44.11673,12.495,3E-05,1.2E-05,-0.017,0.02,0.03
1801,K02208.01,CONFIRMED,2.344512589,1.4116,58.9,1.6208,0.97,84.08,1471,1106.25,5821,4.328,0.04,1.132,0.995,290.54364,47.725887,12.589,-1E-05,9E-06,-0.63,0.66,0.91
1802,K00232.02,CONFIRMED,5.766165573,3.8314,364.8,0.91393,2.27,89.92,1159,426.48,6038,4.284,-0.16,1.191,0.995,291.11188,39.949108,14.247,,1.4E-05,-0.052,-0.01,0.05
1803,K02209.01,CONFIRMED,18.3027235,8.262,186.7,0.09089,2.72,86.37,902,156.71,5528,3.892,-0.3,1.839,0.962,292.71445,44.082329,14.31,-0.00014,0,0.16,-0.2,0.25
1804,K02210.01,CONFIRMED,2.888904439,1.6043,402.2,1.7966,1.68,85.23,976,215.06,4895,4.589,0.16,0.759,0.817,287.30283,39.289688,15.195,-0.0003,-0.00044,0.11,0.04,0.12
1805,K02212.01,CONFIRMED,17.14648756,4.2354,440.3,0.17837,3.64,86.25,811,102.24,5559,4.127,0.14,1.412,0.974,290.04327,47.25798,14.941,-0.00021,0.00015,0.04,-0.19,0.19
1806,K02287.01,CONFIRMED,16.09227518,2.1072,128.5,0.9088,0.98,87.69,503,15.15,4657,4.641,0.02,0.67,0.748,294.94858,46.438641,12.485,-4.4E-05,2.9E-05,-0.1,0.72,0.73
1807,K02288.01,CANDIDATE,38.103908,3.837,961.1,0.25507,4.08,87.9,456,10.22,5250,4.522,-0.36,0.771,0.721,290.703,38.567032,15.469,1E-05,0.00046,0.45,-0.91,1.02
1808,K02289.01,CONFIRMED,62.7843981,4.81,325,4.47136,2.28,89.84,530,18.7,6053,4.279,0.06,1.26,1.098,295.70111,38.945831,13.358,-0.00038,1E-05,-0.11,0.47,0.49
1809,K02290.01,CANDIDATE,91.500873,4.842,704.8,7.28204,1.82,89.99,310,2.18,5051,4.628,-0.24,0.706,0.786,296.85101,50.698929,14.447,-0.00027,0.00048,0.59,-0.01,0.59
1810,K02291.01,CANDIDATE,44.2993483,4.298,797.9,2.62575,2.68,89.46,463,10.85,5316,4.459,0.16,0.915,0.878,282.03329,44.478008,15.115,-4E-05,-0.00025,0.44,0.29,0.52
1811,K02363.01,CANDIDATE,3.13877646,1.6663,174.1,4.38191,0.97,88.1,1022,257.32,5242,4.556,-0.54,0.722,0.684,299.85184,43.732182,14.364,-3E-05,-3E-05,0.17,0.14,0.22
1812,K02364.01,CANDIDATE,5.24242029,6.413,334.9,0.02979,3.86,75.77,1367,825,5383,3.824,-0.64,1.829,0.813,294.3847,46.157841,15.83,0.00016,0.00029,-0.29,-0.13,0.32
1813,K02365.01,CONFIRMED,35.9682692,2.839,269.7,1.72368,2.95,88.97,674,48.68,5883,4.149,0.2,1.529,1.205,292.80865,49.579441,13.848,0.00034,0.00014,0.6,0.7,0.92
1814,K02366.01,CONFIRMED,25.3690868,4.746,110.1,0.34303,1.67,87.87,755,76.9,6126,4.224,0.14,1.406,1.212,287.5849,49.154789,12.476,6.6E-05,-8E-06,-0.32,-0.03,0.32
1815,K02367.01,CANDIDATE,6.89213244,1.725,82,6.98346,1.35,88.81,1177,454.45,6164,4.227,0.38,1.446,1.286,290.87137,45.410301,12.618,3.4E-05,7.5E-05,-0.37,-0.19,0.42
1816,K02134.01,CONFIRMED,42.3006282,4.372,507.9,4.07265,2.54,89.79,558,22.94,5852,4.353,0.14,1.129,1.048,289.40671,39.33884,14.766,0.00048,0.00048,-0.37,0.04,0.38
1817,K00225.01,FALSE POSITIVE,0.838597429,1.68668,2482.1,0.20088,44.67,49.33,2278,6353.25,6366,4.352,0.16,1.236,1.257,294.9133,41.074711,14.784,-0.00093,-0.00105,0.052,0.309,0.313
1818,K02135.01,CONFIRMED,55.1866213,9.133,375.5,0.59772,2.47,89.72,568,24.56,6178,4.269,-0.04,1.267,1.085,296.80344,46.74115,13.573,-1E-05,2E-05,-0.3,0.21,0.37
1819,K02136.01,FALSE POSITIVE,1.728528176,3.682,197.6,0.09372,5.07,71.32,2720,12977.86,6153,3.597,-0.12,3.279,1.55,295.50107,40.410225,12.99,0.000812,0.00084,-10.79,-7.16,12.95
1820,K02137.01,CONFIRMED,14.97436238,2.4461,265.4,8.90485,1.28,89.89,631,37.53,5311,4.532,-0.18,0.8,0.796,299.23694,45.834702,13.747,-0.00031,-7E-05,0.29,0.17,0.33
1821,K02213.01,CONFIRMED,3.97076603,1.814,349.2,1.6408,1.6,86,958,198.43,5178,4.521,-0.26,0.778,0.732,295.30817,43.044411,15.443,0.00017,-0.00012,-0.29,-0.05,0.3
1822,K02214.01,CONFIRMED,2.352273912,1.7389,318.6,3.92223,1.29,89.48,1019,255.03,4816,4.608,0.24,0.748,0.836,286.71661,47.425629,15.848,0.00017,-3E-05,0.29,-0.04,0.29
1823,K02215.01,FALSE POSITIVE,22.0425953,61.2018,348,9E-05,28.78,25.78,760,78.85,5974,4.216,-0.24,1.26,0.953,296.25507,42.53022,12.999,-0.00013,9E-05,0.22,-0.5,0.55
1824,K02216.01,CANDIDATE,23.34036251,2.054,615.1,22.15458,2.21,89.83,601,30.94,5530,4.425,-0.34,0.892,0.773,287.29251,39.383221,15.23,-0.00054,0.00037,0.12,0.08,0.15
1825,K02217.01,CANDIDATE,37.8034121,4.641,678.1,0.14917,2.95,87.52,460,10.57,5329,4.572,0.1,0.819,0.912,288.64252,46.21566,15.191,8E-05,-9E-05,-0.03,-0.05,0.06
1826,K02293.01,CANDIDATE,15.03366411,3.272,374.9,3.81266,1.7,89.98,669,47.32,5523,4.526,0.16,0.891,0.972,298.45013,44.284012,14.837,-0.00047,-0.00023,0.04,-0.04,0.05
1827,K02294.01,CANDIDATE,131.485184,5.294,557.8,4.47933,3.03,89.79,400,6.08,5765,4.236,0,1.242,0.968,287.1532,42.421612,14.895,-0.00062,0.00107,-0.44,0.29,0.53
1828,K02295.01,CANDIDATE,16.2908527,3.176,44.1,4.29798,0.52,89.85,622,35.48,5425,4.549,-0.22,0.797,0.822,289.54514,39.164429,11.671,-0.000128,-2E-06,0.46,-0.77,0.9
1829,K02296.01,CONFIRMED,106.247882,13.78,397.4,0.19823,2.01,89.32,377,4.75,5679,4.435,0,0.972,0.938,286.67145,49.406288,14.552,0.00015,6E-05,-0.06,-1.01,1.01
